h_dormir,h_alimentarse,h_cuipersonal,h_estudio,h_domesticas,h_ocio,h_medico,sexo,edad,educ_in,anio_ed,publ,trabaja_rem,hijos,celular,log_ing,AFAM_h,aniosed_h,act,inact,servdom_pag,tv,tv_abon,compu,disc_h,mdeo
12,1,1.5,4,0,0,0,0,17,1,3,1,0,0,1,9.871207099962083,1,9,1,1,0,1,0,1,0,0
7,2,.6666666865348816,9,0,1,0,0,16,1,4,1,0,0,1,10.64146707541116,0,4,3,2,0,1,0,1,1,1
10,1,1,6,0,4,0,0,16,1,4,1,0,0,1,10.36823740483332,1,6,2,1,0,1,1,1,0,0
12,.5,1.5,0,2,4,0,0,15,1,1,1,0,0,1,9.572529087102032,1,5,1,1,0,1,1,1,0,0
5.5,1,1.25,6,0,0,0,1,19,1,4,1,1,0,1,10.31193530731633,1,8.666666666666666,0,5,0,1,0,1,0,0
8,.5,2,0,3,0,0,0,19,1,5,1,0,0,1,10.31035334589321,0,9.666666666666666,3,1,0,1,1,1,0,0
8,1.5,.5,4,0,.6666666865348816,0,0,16,1,4,0,0,0,1,12.37974902355599,0,21.5,1,4,1,1,1,1,0,1
8,1.5,1.5,8,0,0,0,0,15,1,3,1,0,0,0,10.26785458635086,0,6,3,0,0,1,1,1,1,0
9,.5,.3333333432674408,4,1,0,0,0,15,1,3,1,0,0,1,10.74923392427272,1,16,1,3,0,1,0,1,0,1
9,1,1,0,0,2,0,1,17,1,4,1,0,0,0,10.64459338437364,1,10.5,2,4,0,1,1,1,0,0
9,1,.0666666701436043,5,0,2,0,1,16,1,5,1,0,0,0,10.64459338437364,1,10.5,2,4,0,1,1,1,0,0
12,.3333333432674408,1,8,2,0,0,0,18,1,5,1,0,0,1,9.851622340248744,0,12,1,1,0,1,1,1,0,0
9,1,1,3,0,1.5,0,0,16,1,4,0,0,0,1,9.341800381135705,1,6,1,3,0,1,0,1,0,1
8,2,1.5,0,0,1.5,0,1,18,1,5,1,1,0,1,11.29104861105602,0,7,0,4,0,1,1,1,0,0
8,.5,1,5,0,2,0,0,18,1,3,1,1,0,1,10.6028503759033,0,7.5,0,5,0,1,1,1,0,0
10,.25,.5,2,0,1,0,0,15,1,3,1,0,0,1,11.14250070985731,1,12,1,5,0,1,1,1,0,0
8,2,.5,6,0,0,0,0,16,1,4,1,0,0,1,10.59486817364835,0,11,1,3,0,1,1,1,0,0
8,2,1,0,2,0,0,1,17,1,1,1,0,0,0,10.28264927083199,1,9,2,4,0,1,1,1,0,1
8,2,2,1.5,2,0,0,0,16,1,1,1,0,0,0,10.28264927083199,1,9,2,4,0,1,1,1,0,1
9,1.25,1,4,0,1,0,1,16,1,3,1,0,0,1,11.1026580441951,0,12,2,2,0,1,1,1,0,1
6,1,.2666666805744171,0,.5,2,0,1,18,1,5,1,1,0,0,11.16236606860619,1,11,0,4,0,1,1,1,0,0
7,1.5,2,6,.25,2,0,1,17,1,5,1,0,0,0,10.73117567845071,0,7.5,1,2,0,1,1,1,0,1
10,.5,.25,1,1,2,0,0,15,1,2,1,0,0,1,10.03995276230734,1,4,4,2,0,1,0,1,1,0
